DATE,DEXJPUS_PCH
2004-09-01,-0.08027
2004-09-08,0.08444
2004-09-15,0.13272
2004-09-22,0.21316
2004-09-29,0.82900
2004-10-06,-0.05229
2004-10-13,-0.74504
2004-10-20,-1.03780
2004-10-27,-1.78699
2004-11-03,-0.69751
2004-11-10,-0.25611
2004-11-17,-0.74244
2004-11-24,-1.73994
2004-12-01,-0.54734
2004-12-08,0.40242
2004-12-15,1.71180
2004-12-22,-0.71094
2004-12-29,-0.62964
2005-01-05,-0.15648
2005-01-12,0.57271
2005-01-19,-1.42122
2005-01-26,0.67865
2005-02-02,0.43420
2005-02-09,1.21398
2005-02-16,0.39091
2005-02-23,-0.23173
2005-03-02,-0.24750
2005-03-09,-0.16605
2005-03-16,-0.25809
2005-03-23,0.64976
2005-03-30,1.80911
2005-04-06,1.03812
2005-04-13,-0.01851
2005-04-20,-0.55734
2005-04-27,-1.24381
2005-05-04,-0.89936
2005-05-11,0.10274
2005-05-18,1.68963
2005-05-25,0.64855
2005-06-01,0.32776
2005-06-08,-0.69131
2005-06-15,1.44071
2005-06-22,0.08635
2005-06-29,0.51768
2005-07-06,1.87696
2005-07-13,0.21377
2005-07-20,0.61177
2005-07-27,-0.85519
2005-08-03,0.25106
2005-08-10,-0.20929
2005-08-17,-1.79253
2005-08-24,0.59868
2005-08-31,0.26490
2005-09-07,-0.57409
2005-09-14,0.32260
2005-09-21,0.87444
2005-09-28,1.21756
2005-10-05,1.03945
2005-10-12,0.22202
2005-10-19,0.89970
2005-10-26,0.37215
2005-11-02,0.55962
2005-11-09,1.23706
2005-11-16,1.05473
2005-11-23,0.20925
2005-11-30,0.42351
2005-12-07,1.07439
2005-12-14,-1.04972
2005-12-21,-2.48983
2005-12-28,0.30459
2006-01-04,0.16466
2006-01-11,-2.01840
2006-01-18,0.21441
2006-01-25,0.09219
2006-02-01,1.78649
2006-02-08,1.21903
2006-02-15,-0.60049
2006-02-22,0.48109
2006-03-01,-1.73696
2006-03-08,0.65482
2006-03-15,0.86229
2006-03-22,-1.26629
2006-03-29,0.60526
2006-04-05,0.16873
2006-04-12,0.68568
2006-04-19,-0.28558
2006-04-26,-1.89805
2006-05-03,-1.95377
2006-05-10,-1.45357
2006-05-17,-1.37488
2006-05-24,1.23090
2006-05-31,0.49336
2006-06-07,0.21829
2006-06-14,1.74075
2006-06-21,0.52954
2006-06-28,1.05003
2006-07-05,-0.80816
2006-07-12,-0.67165
2006-07-19,1.86663
2006-07-26,0.10113
2006-08-02,-1.66789
2006-08-09,0.04354
2006-08-16,0.95565
2006-08-23,0.02759
2006-08-30,0.81016
2006-09-06,-0.11414
2006-09-13,0.32311
2006-09-20,0.34980
2006-09-27,-0.64105
2006-10-04,0.85910
2006-10-11,0.90566
2006-10-18,0.27283
2006-10-25,-0.25658
2006-11-01,-1.23407
2006-11-08,0.22470
2006-11-15,0.09342
2006-11-22,-0.11709
2006-11-29,-1.36251
2006-12-06,-0.74061
2006-12-13,1.15565
2006-12-20,1.19219
2006-12-27,0.61916
2007-01-03,0.32221
2007-01-10,0.00588
2007-01-17,1.18008
2007-01-24,0.64270
2007-01-31,0.10224
2007-02-07,-0.65895
2007-02-14,0.59035
2007-02-21,-1.12555
2007-02-28,0.06628
2007-03-07,-2.81425
2007-03-14,0.51948
2007-03-21,0.07846
2007-03-28,0.22496
2007-04-04,0.42001
2007-04-11,0.87207
2007-04-18,-0.06211
2007-04-25,-0.42833
2007-05-02,0.93964
2007-05-09,0.29916
2007-05-16,0.29160
2007-05-23,0.84069
2007-05-30,0.18329
2007-06-06,0.01439
2007-06-13,0.11839
2007-06-20,1.36482
2007-06-27,0.07129
2007-07-04,-0.60231
