DATE,DEXUSAL_PCH
2004-09-01,-1.76296
2004-09-08,-1.32889
2004-09-15,0.25437
2004-09-22,0.77339
2004-09-29,1.90579
2004-10-06,1.20944
2004-10-13,0.82363
2004-10-20,0.28053
2004-10-27,1.72635
2004-11-03,0.56479
2004-11-10,1.60730
2004-11-17,1.87732
2004-11-24,1.27563
2004-12-01,-0.40816
2004-12-08,-1.14242
2004-12-15,-1.96144
2004-12-22,0.77437
2004-12-29,1.27459
2005-01-05,0.28486
2005-01-12,-1.59066
2005-01-19,-0.15744
2005-01-26,0.95926
2005-02-02,0.80958
2005-02-09,-0.59908
2005-02-16,1.97174
2005-02-23,0.50506
2005-03-02,-0.26932
2005-03-09,0.62270
2005-03-16,-0.11872
2005-03-23,-0.35404
2005-03-30,-2.17242
2005-04-06,-0.30871
2005-04-13,0.69741
2005-04-20,-0.40056
2005-04-27,1.04045
2005-05-04,-0.00770
2005-05-11,-0.34156
2005-05-18,-2.00484
2005-05-25,-0.16041
2005-06-01,-0.18964
2005-06-08,0.58319
2005-06-15,0.29122
2005-06-22,1.60096
2005-06-29,-1.19982
2005-07-06,-2.39556
2005-07-13,-0.33575
2005-07-20,0.67242
2005-07-27,1.29328
2005-08-03,0.22330
2005-08-10,0.40105
2005-08-17,0.39422
2005-08-24,-1.97899
2005-08-31,-0.01061
2005-09-07,1.52166
2005-09-14,0.74877
2005-09-21,-0.39171
2005-09-28,-1.34122
2005-10-05,0.46987
2005-10-12,-0.75143
2005-10-19,-0.82065
2005-10-26,0.41372
2005-11-02,-0.51568
2005-11-09,-1.85967
2005-11-16,-0.60237
2005-11-23,0.65806
2005-11-30,0.38709
2005-12-07,1.38447
2005-12-14,0.78071
2005-12-21,-1.91277
2005-12-28,-1.43145
2006-01-04,1.20391
2006-01-11,1.87758
2006-01-18,-0.02661
2006-01-25,-0.13843
2006-02-01,0.39453
2006-02-08,-0.97448
2006-02-15,-0.88754
2006-02-22,-0.16368
2006-03-01,0.37802
2006-03-08,-0.21597
2006-03-15,-0.62226
2006-03-22,-1.37210
2006-03-29,-2.14199
2006-04-05,1.39907
2006-04-12,1.58562
2006-04-19,0.76948
2006-04-26,1.23916
2006-05-03,2.28426
2006-05-10,1.34100
2006-05-17,-0.59818
2006-05-24,-1.52139
2006-05-31,0.19311
2006-06-07,-1.35710
2006-06-14,-0.43361
2006-06-21,-0.84680
2006-06-28,-0.79980
2006-07-05,1.06179
2006-07-12,1.46440
2006-07-19,0.00800
2006-07-26,0.48505
2006-08-02,1.41895
2006-08-09,-0.17783
2006-08-16,0.31437
2006-08-23,-0.47008
2006-08-30,-0.19155
2006-09-06,0.74136
2006-09-13,-1.57881
2006-09-20,-0.07954
