DATE,DEXUSUK_PCH
2004-09-01,-0.89766
2004-09-08,-0.71694
2004-09-15,0.50330
2004-09-22,0.04913
2004-09-29,0.64729
2004-10-06,-0.74735
2004-10-13,-0.11563
2004-10-20,0.94903
2004-10-27,1.56665
2004-11-03,0.16145
2004-11-10,0.86367
2004-11-17,0.09070
2004-11-24,0.57716
2004-12-01,2.27797
2004-12-08,1.48002
2004-12-15,-0.54358
2004-12-22,0.41148
2004-12-29,-0.37668
2005-01-05,-1.16754
2005-01-12,-1.27697
2005-01-19,-0.24433
2005-01-26,0.01654
2005-02-02,0.49724
2005-02-09,-0.81755
2005-02-16,0.58342
2005-02-23,1.18376
2005-03-02,0.80019
2005-03-09,0.20766
2005-03-16,-0.02395
2005-03-23,-0.93013
2005-03-30,-1.57388
2005-04-06,0.37600
2005-04-13,0.32138
2005-04-20,0.93135
2005-04-27,0.32475
2005-05-04,-0.38865
2005-05-11,-0.75824
2005-05-18,-2.15753
2005-05-25,-0.89894
2005-06-01,-0.57076
2005-06-08,0.21241
2005-06-15,-0.59558
2005-06-22,0.58701
2005-06-29,-0.29728
2005-07-06,-2.64193
2005-07-13,-0.95012
2005-07-20,-0.38792
2005-07-27,-0.13286
2005-08-03,1.35219
2005-08-10,0.90867
2005-08-17,1.46343
2005-08-24,-0.67861
2005-08-31,0.11573
2005-09-07,2.11295
2005-09-14,-0.42234
2005-09-21,-1.30517
2005-09-28,-1.68461
2005-10-05,-0.73338
2005-10-12,-0.20541
2005-10-19,-0.12168
2005-10-26,1.03384
2005-11-02,-0.05071
2005-11-09,-1.34286
2005-11-16,-0.93857
2005-11-23,-0.95150
2005-11-30,0.31565
2005-12-07,0.71756
2005-12-14,1.70388
2005-12-21,-0.30605
2005-12-28,-1.57161
2006-01-04,0.26857
2006-01-11,1.60683
2006-01-18,0.02863
2006-01-25,0.74897
2006-02-01,-0.03375
2006-02-08,-1.24702
2006-02-15,-0.79436
2006-02-22,-0.01235
2006-03-01,0.40759
2006-03-08,-0.17622
2006-03-15,-0.41955
2006-03-22,0.86680
2006-03-29,-0.57861
2006-04-05,0.19399
2006-04-12,0.00573
2006-04-19,1.28421
2006-04-26,0.92521
2006-05-03,2.38709
2006-05-10,1.72614
2006-05-17,1.38911
2006-05-24,-0.26213
2006-05-31,-0.45594
2006-06-07,-0.07536
2006-06-14,-1.39278
2006-06-21,0.04448
2006-06-28,-1.21990
2006-07-05,0.65069
2006-07-12,0.43435
2006-07-19,-0.50822
2006-07-26,0.91138
2006-08-02,1.07621
2006-08-09,1.88766
2006-08-16,-0.55035
2006-08-23,-0.17214
2006-08-30,0.17561
2006-09-06,0.07445
2006-09-13,-1.26685
2006-09-20,0.64342
2006-09-27,0.67860
2006-10-04,-0.81010
2006-10-11,-0.83480
2006-10-18,-0.13512
2006-10-25,0.74202
2006-11-01,1.31003
2006-11-08,0.18623
2006-11-15,-0.19008
2006-11-22,-0.11574
2006-11-29,2.25298
2006-12-06,1.69390
2006-12-13,-0.65949
2006-12-20,-0.10809
2006-12-27,-0.04951
2007-01-03,0.14682
2007-01-10,-1.20779
2007-01-17,1.09351
2007-01-24,0.85958
2007-01-31,-0.65507
2007-02-07,0.22319
2007-02-14,-0.70877
2007-02-21,-0.01587
2007-02-28,0.49935
2007-03-07,-1.28217
2007-03-14,-0.29838
2007-03-21,0.88642
2007-03-28,0.87145
2007-04-04,0.36836
2007-04-11,-0.16221
2007-04-18,1.14953
2007-04-25,0.55819
2007-05-02,-0.37139
2007-05-09,-0.17336
2007-05-16,-0.52400
2007-05-23,-0.25329
2007-05-30,0.23016
2007-06-06,0.30937
2007-06-13,-0.76475
2007-06-20,0.49179
2007-06-27,0.72550
2007-07-04,0.69573
2007-07-11,0.44719
2007-07-18,1.01815
2007-07-25,0.76768
2007-08-01,-1.05957
2007-08-08,-0.05310
2007-08-15,-1.08132
2007-08-22,-1.31296
2007-08-29,1.30926
2007-09-05,0.30344
2007-09-12,0.62091
2007-09-19,-1.20754
2007-09-26,0.66752
2007-10-03,0.94757
2007-10-10,0.17772
2007-10-17,-0.20779
2007-10-24,0.38403
2007-10-31,0.83165
2007-11-07,1.24689
2007-11-14,-0.17107
2007-11-21,-1.42518
2007-11-28,0.48014
2007-12-05,-0.42551
2007-12-12,-0.79430
2007-12-19,-1.06460
2007-12-26,-1.74029
2008-01-02,0.30532
2008-01-09,-0.89632
2008-01-16,-0.44574
2008-01-23,-0.09460
2008-01-30,1.19722
2008-02-06,-0.54474
2008-02-13,-0.98388
2008-02-20,0.18157
2008-02-27,0.84231
2008-03-05,0.77672
2008-03-12,1.24062
2008-03-19,0.06758
2008-03-26,-1.16202
2008-04-02,-0.07436
2008-04-09,-0.26548
2008-04-16,-0.53540
2008-04-23,0.82921
2008-04-30,-0.41723
2008-05-07,-0.60373
2008-05-14,-0.90094
2008-05-21,0.35668
2008-05-28,1.05807
2008-06-04,-0.53967
2008-06-11,-0.21440
2008-06-18,-0.49997
2008-06-25,0.75731
2008-07-02,1.13556
2008-07-09,-0.80168
2008-07-16,0.86486
2008-07-23,0.33725
2008-07-30,-0.69425
2008-08-06,-1.11212
2008-08-13,-2.75350
2008-08-20,-2.26894
2008-08-27,-0.75351
2008-09-03,-2.66378
2008-09-10,-2.20743
2008-09-17,0.94057
2008-09-24,3.43948
2008-10-01,-1.70493
2008-10-08,-3.07435
2008-10-15,-1.37664
2008-10-22,-2.05274
2008-10-29,-6.51987
2008-11-05,1.72786
2008-11-12,-3.38306
2008-11-19,-3.84271
2008-11-26,0.69895
2008-12-03,-0.59589
2008-12-10,-1.42323
2008-12-17,2.77379
2008-12-24,-2.22187
2008-12-31,-1.77200
2009-01-07,1.45442
2009-01-14,0.62178
2009-01-21,-4.08395
2009-01-28,-2.01717
2009-02-04,2.64005
2009-02-11,2.15413
2009-02-18,-2.59667
2009-02-25,0.63680
2009-03-04,-1.50697
2009-03-11,-1.65576
2009-03-18,0.36632
2009-03-25,4.24241
2009-04-01,-1.59000
2009-04-08,2.75840
2009-04-15,0.45758
2009-04-22,-0.78799
2009-04-29,0.02180
2009-05-06,1.91776
2009-05-13,1.11190
2009-05-20,1.63629
2009-05-27,3.48421
2009-06-03,2.39739
2009-06-10,-0.87993
2009-06-17,1.62195
2009-06-24,0.00244
2009-07-01,0.32164
2009-07-08,-1.45003
2009-07-15,0.30684
2009-07-22,0.86120
2009-07-29,0.28868
2009-08-05,2.09507
2009-08-12,-1.29906
2009-08-19,-0.67977
2009-08-26,-0.39561
2009-09-02,-0.95640
2009-09-09,1.17752
2009-09-16,0.75105
2009-09-23,-1.28999
2009-09-30,-2.35575
2009-10-07,-0.39563
2009-10-14,0.33058
2009-10-21,2.71736
2009-10-28,0.02073
2009-11-04,0.48289
2009-11-11,0.95780
2009-11-18,0.39397
2009-11-25,-0.58071
2009-12-02,-0.38719
2009-12-09,-0.78162
2009-12-16,-0.83469
2009-12-23,-1.43645
2009-12-30,-0.44507
2010-01-06,0.65275
2010-01-13,0.17885
2010-01-20,1.24348
2010-01-27,-0.78292
2010-02-03,-1.01999
2010-02-10,-2.17467
2010-02-17,0.20015
2010-02-24,-1.37849
2010-03-03,-2.47312
2010-03-10,-0.38687
2010-03-17,0.77807
2010-03-24,-0.60445
2010-03-31,-0.36913
2010-04-07,1.61525
2010-04-14,0.87085
2010-04-21,-0.02080
2010-04-28,-0.32902
2010-05-05,-0.67848
2010-05-12,-2.24245
2010-05-19,-2.71854
2010-05-26,-0.54150
2010-06-02,1.34549
2010-06-09,-0.48617
2010-06-16,1.43223
2010-06-23,0.76982
2010-06-30,1.18026
2010-07-07,0.97607
2010-07-14,-0.13583
2010-07-21,0.81345
2010-07-28,1.31512
2010-08-04,2.17591
2010-08-11,0.27584
2010-08-18,-1.52811
2010-08-25,-0.57281
2010-09-01,-0.23843
2010-09-08,-0.40534
2010-09-15,0.53151
2010-09-22,0.65806
2010-09-29,1.29725
2010-10-06,0.25815
2010-10-13,0.22309
2010-10-20,0.14892
2010-10-27,-0.86894
2010-11-03,1.61612
2010-11-10,0.82267
2010-11-17,-0.85620
2010-11-24,-0.71373
2010-12-01,-1.96035
2010-12-08,0.85255
2010-12-15,0.28623
2010-12-22,-1.73407
2010-12-29,-0.59059
2011-01-05,0.58274
2011-01-12,0.67232
2011-01-19,2.16955
2011-01-26,-0.12270
2011-02-02,0.63465
2011-02-09,0.57820
2011-02-16,-0.25702
2011-02-23,0.78020
2011-03-02,0.11395
2011-03-09,0.04318
2011-03-16,-0.88425
2011-03-23,1.08251
2011-03-30,-1.16816
2011-04-06,0.76597
2011-04-13,0.83308
2011-04-20,0.05516
2011-04-27,1.17245
2011-05-04,0.60062
2011-05-11,-1.38667
2011-05-18,-1.05218
2011-05-25,-0.12089
2011-06-01,1.38640
2011-06-08,-0.21745
2011-06-15,-0.43829
2011-06-22,-0.81545
2011-06-29,-1.06942
2011-07-06,0.31867
2011-07-13,-0.36749
2011-07-20,0.74019
2011-07-27,1.34290
2011-08-03,0.13471
2011-08-10,-0.46108
2011-08-17,0.64752
2011-08-24,0.55546
2011-08-31,-0.98702
2011-09-07,-1.49253
2011-09-14,-1.31412
2011-09-21,-0.83498
2011-09-28,-1.15236
2011-10-05,-0.11967
2011-10-12,0.44994
2011-10-19,1.02185
2011-10-26,1.00041
2011-11-02,0.89999
2011-11-09,-0.28528
2011-11-16,-0.95636
2011-11-23,-1.10309
2011-11-30,-0.61764
2011-12-07,0.42512
2011-12-14,-0.51502
2011-12-21,0.04881
2011-12-28,0.19741
2012-01-04,-0.34438
2012-01-11,-0.78308
2012-01-18,-0.54561
2012-01-25,1.34350
2012-02-01,1.21382
2012-02-08,0.53357
2012-02-15,-0.46503
2012-02-22,0.10696
2012-02-29,0.50824
2012-03-07,-0.14006
