DATE,EXUSEU_PCH
2004-09-01,0.27069
2004-10-01,2.31512
2004-11-01,3.91781
2004-12-01,3.14688
2005-01-01,-2.11100
2005-02-01,-0.83822
2005-03-01,1.32176
2005-04-01,-1.83542
2005-05-01,-1.90064
2005-06-01,-4.26872
2005-07-01,-0.93789
2005-08-01,2.10946
2005-09-01,-0.49614
2005-10-01,-1.73288
2005-11-01,-1.93811
2005-12-01,0.61074
2006-01-01,2.23421
2006-02-01,-1.53389
2006-03-01,0.73702
2006-04-01,2.03691
2006-05-01,4.02510
2006-06-01,-0.83027
2006-07-01,0.15797
2006-08-01,1.01727
2006-09-01,-0.68696
2006-10-01,-0.82534
2006-11-01,2.14790
2006-12-01,2.45965
2007-01-01,-1.60545
2007-02-01,0.66959
2007-03-01,1.26911
2007-04-01,2.01570
2007-05-01,0.03700
2007-06-01,-0.71756
2007-07-01,2.27256
2007-08-01,-0.72854
2007-09-01,2.08425
2007-10-01,2.32207
2007-11-01,3.16167
2007-12-01,-0.84451
2008-01-01,1.16079
2008-02-01,0.21048
2008-03-01,5.15618
2008-04-01,1.50773
2008-05-01,-1.26952
2008-06-01,0.05143
2008-07-01,1.26590
2008-08-01,-5.10185
2008-09-01,-4.09896
2008-10-01,-7.50244
2008-11-01,-3.93487
2008-12-01,6.01852
2009-01-01,-1.97617
2009-02-01,-3.37511
2009-03-01,1.97703
2009-04-01,1.14176
2009-05-01,3.38662
2009-06-01,2.69676
2009-07-01,0.55659
2009-08-01,1.23474
2009-09-01,2.16599
2009-10-01,1.68782
2009-11-01,0.58700
2009-12-01,-2.20687
2010-01-01,-2.14692
2010-02-01,-4.10767
2010-03-01,-0.80409
2010-04-01,-1.12749
2010-05-01,-6.36506
2010-06-01,-2.70636
2010-07-01,4.81060
2010-08-01,0.71813
2010-09-01,1.55003
2010-10-01,6.09021
2010-11-01,-1.77685
2010-12-01,-3.17123
2011-01-01,1.13456
2011-02-01,2.13148
2011-03-01,2.66550
2011-04-01,3.13837
2011-05-01,-0.86445
2011-06-01,0.47436
2011-07-01,-0.88870
2011-08-01,0.40630
2011-09-01,-4.08847
2011-10-01,-0.10911
2011-11-01,-1.26711
2011-12-01,-2.97241
2012-01-01,-1.86241
2012-02-01,2.54067
2012-03-01,-0.22662
2012-04-01,-0.36342
2012-05-01,-2.68997
2012-06-01,-2.06934
2012-07-01,-2.09712
2012-08-01,1.04252
