DATE,FF_CHG
2004-09-01,0.02
2004-09-08,-0.03
2004-09-15,-0.01
2004-09-22,0.15
2004-09-29,0.12
2004-10-06,0.06
2004-10-13,-0.09
2004-10-20,0.03
2004-10-27,-0.02
2004-11-03,0.04
2004-11-10,0.01
2004-11-17,0.21
2004-11-24,0.00
2004-12-01,0.02
2004-12-08,-0.02
2004-12-15,0.15
2004-12-22,0.09
2004-12-29,0.03
2005-01-05,-0.13
2005-01-12,0.11
2005-01-19,0.03
2005-01-26,-0.01
2005-02-02,0.16
2005-02-09,0.07
2005-02-16,0.00
2005-02-23,0.02
2005-03-02,-0.01
2005-03-09,-0.01
2005-03-16,0.05
2005-03-23,0.16
2005-03-30,0.06
2005-04-06,0.04
2005-04-13,-0.05
2005-04-20,0.02
2005-04-27,-0.04
2005-05-04,0.22
2005-05-11,0.03
2005-05-18,0.02
2005-05-25,0.00
2005-06-01,0.01
2005-06-08,-0.04
2005-06-15,0.04
2005-06-22,-0.04
2005-06-29,0.13
2005-07-06,0.18
2005-07-13,-0.07
2005-07-20,0.04
2005-07-27,0.00
2005-08-03,0.03
2005-08-10,0.19
2005-08-17,0.06
2005-08-24,-0.02
2005-08-31,0.03
2005-09-07,-0.04
2005-09-14,-0.02
2005-09-21,0.16
2005-09-28,0.12
2005-10-05,0.08
2005-10-12,-0.17
2005-10-19,0.08
2005-10-26,0.00
2005-11-02,0.18
2005-11-09,0.06
2005-11-16,-0.02
2005-11-23,0.02
2005-11-30,0.02
2005-12-07,-0.02
2005-12-14,0.19
2005-12-21,0.05
2005-12-28,-0.02
2006-01-04,-0.06
2006-01-11,0.07
2006-01-18,0.06
2006-01-25,-0.03
2006-02-01,0.18
2006-02-08,0.06
2006-02-15,-0.01
2006-02-22,0.00
2006-03-01,0.01
2006-03-08,0.01
2006-03-15,0.00
2006-03-22,0.06
2006-03-29,0.13
2006-04-05,0.18
2006-04-12,-0.12
2006-04-19,0.01
2006-04-26,-0.03
2006-05-03,0.09
2006-05-10,0.01
2006-05-17,0.16
2006-05-24,-0.02
2006-05-31,0.03
2006-06-07,-0.02
2006-06-14,0.01
2006-06-21,-0.05
2006-06-28,0.05
2006-07-05,0.14
2006-07-12,0.10
2006-07-19,0.01
2006-07-26,-0.01
2006-08-02,0.03
2006-08-09,-0.02
2006-08-16,-0.02
2006-08-23,0.01
2006-08-30,0.01
2006-09-06,0.00
2006-09-13,-0.02
2006-09-20,0.01
2006-09-27,0.03
2006-10-04,0.03
2006-10-11,-0.07
2006-10-18,0.00
2006-10-25,0.01
2006-11-01,0.01
2006-11-08,-0.01
2006-11-15,0.01
2006-11-22,-0.01
2006-11-29,0.02
2006-12-06,-0.01
2006-12-13,-0.01
2006-12-20,0.01
2006-12-27,-0.01
2007-01-03,-0.02
2007-01-10,0.01
2007-01-17,0.01
2007-01-24,0.01
2007-01-31,0.02
2007-02-07,-0.02
2007-02-14,0.01
2007-02-21,-0.01
2007-02-28,0.03
2007-03-07,-0.03
2007-03-14,0.00
2007-03-21,0.01
2007-03-28,0.00
2007-04-04,0.00
2007-04-11,0.02
2007-04-18,-0.04
2007-04-25,-0.01
2007-05-02,0.02
2007-05-09,-0.02
2007-05-16,0.04
2007-05-23,-0.03
2007-05-30,0.04
2007-06-06,-0.04
2007-06-13,0.02
2007-06-20,-0.01
2007-06-27,0.00
2007-07-04,0.03
2007-07-11,-0.05
2007-07-18,0.04
2007-07-25,-0.01
2007-08-01,0.01
2007-08-08,-0.02
2007-08-15,-0.46
2007-08-22,0.12
2007-08-29,0.20
2007-09-05,-0.08
2007-09-12,-0.05
2007-09-19,0.14
2007-09-26,-0.34
2007-10-03,-0.06
2007-10-10,0.03
2007-10-17,-0.01
2007-10-24,-0.01
2007-10-31,0.05
2007-11-07,-0.45
2007-11-14,0.21
2007-11-21,-0.03
2007-11-28,0.02
2007-12-05,0.02
2007-12-12,-0.16
2007-12-19,-0.18
2007-12-26,0.00
2008-01-02,-0.44
2008-01-09,0.46
2008-01-16,0.01
2008-01-23,-0.24
2008-01-30,-0.50
2008-02-06,-0.49
2008-02-13,-0.01
2008-02-20,-0.02
2008-02-27,-0.02
2008-03-05,0.04
2008-03-12,-0.03
2008-03-19,-0.27
2008-03-26,-0.52
2008-04-02,0.05
2008-04-09,0.00
2008-04-16,0.11
2008-04-23,-0.09
2008-04-30,0.03
2008-05-07,-0.34
2008-05-14,0.02
2008-05-21,0.00
2008-05-28,0.09
2008-06-04,-0.06
2008-06-11,0.00
2008-06-18,-0.01
2008-06-25,-0.01
2008-07-02,0.11
2008-07-09,-0.13
2008-07-16,0.06
2008-07-23,-0.02
2008-07-30,0.09
2008-08-06,-0.06
2008-08-13,-0.03
2008-08-20,0.03
2008-08-27,-0.03
2008-09-03,-0.03
2008-09-10,0.03
2008-09-17,0.26
2008-09-24,-0.71
2008-10-01,-0.22
2008-10-08,0.27
2008-10-15,-0.63
2008-10-22,-0.27
2008-10-29,0.13
2008-11-05,-0.58
2008-11-12,0.04
2008-11-19,0.08
2008-11-26,0.20
2008-12-03,-0.07
2008-12-10,-0.36
2008-12-17,0.02
2008-12-24,-0.04
2008-12-31,-0.01
2009-01-07,0.00
2009-01-14,0.00
2009-01-21,0.10
2009-01-28,-0.01
2009-02-04,0.04
2009-02-11,0.00
2009-02-18,0.00
2009-02-25,-0.03
2009-03-04,0.02
2009-03-11,-0.02
2009-03-18,-0.03
2009-03-25,0.00
2009-04-01,-0.01
2009-04-08,-0.02
2009-04-15,0.01
2009-04-22,-0.01
2009-04-29,0.03
2009-05-06,0.04
2009-05-13,-0.04
2009-05-20,-0.01
2009-05-27,0.01
2009-06-03,0.02
2009-06-10,0.01
2009-06-17,-0.01
2009-06-24,0.05
2009-07-01,-0.05
2009-07-08,-0.02
2009-07-15,-0.03
2009-07-22,0.01
2009-07-29,0.00
2009-08-05,0.03
2009-08-12,-0.01
2009-08-19,-0.01
2009-08-26,0.00
2009-09-02,-0.01
2009-09-09,0.00
2009-09-16,0.01
2009-09-23,0.00
2009-09-30,-0.04
2009-10-07,0.01
2009-10-14,-0.01
2009-10-21,0.00
2009-10-28,-0.01
2009-11-04,0.01
2009-11-11,0.00
2009-11-18,0.00
2009-11-25,-0.01
2009-12-02,0.01
2009-12-09,0.00
2009-12-16,0.00
2009-12-23,0.00
2009-12-30,-0.01
2010-01-06,-0.03
2010-01-13,0.03
2010-01-20,0.01
2010-01-27,0.00
2010-02-03,0.01
2010-02-10,0.00
2010-02-17,-0.01
2010-02-24,0.00
2010-03-03,0.01
2010-03-10,0.03
2010-03-17,0.02
2010-03-24,0.00
2010-03-31,-0.02
2010-04-07,0.03
2010-04-14,0.00
2010-04-21,0.02
2010-04-28,-0.01
2010-05-05,0.00
2010-05-12,0.00
2010-05-19,0.00
2010-05-26,0.00
2010-06-02,-0.01
2010-06-09,0.00
2010-06-16,-0.01
2010-06-23,0.00
2010-06-30,-0.03
2010-07-07,0.03
2010-07-14,-0.01
2010-07-21,0.02
2010-07-28,0.00
2010-08-04,0.00
2010-08-11,-0.01
2010-08-18,0.01
2010-08-25,0.00
2010-09-01,0.00
2010-09-08,0.00
2010-09-15,0.00
2010-09-22,0.02
2010-09-29,-0.01
2010-10-06,-0.01
2010-10-13,-0.01
2010-10-20,0.01
2010-10-27,0.00
2010-11-03,0.01
2010-11-10,-0.02
2010-11-17,0.01
2010-11-24,0.01
2010-12-01,0.00
2010-12-08,-0.02
2010-12-15,-0.01
2010-12-22,0.03
2010-12-29,-0.01
2011-01-05,-0.03
2011-01-12,0.01
2011-01-19,0.00
2011-01-26,0.00
2011-02-02,0.00
2011-02-09,0.00
2011-02-16,-0.02
2011-02-23,0.00
2011-03-02,0.00
2011-03-09,0.00
2011-03-16,-0.01
2011-03-23,0.00
2011-03-30,-0.01
2011-04-06,-0.03
2011-04-13,-0.01
2011-04-20,0.02
2011-04-27,-0.01
2011-05-04,-0.01
2011-05-11,0.00
2011-05-18,0.00
2011-05-25,0.01
2011-06-01,0.00
2011-06-08,0.00
2011-06-15,-0.01
2011-06-22,0.01
2011-06-29,-0.02
2011-07-06,0.00
2011-07-13,-0.01
2011-07-20,-0.01
2011-07-27,0.00
2011-08-03,0.06
2011-08-10,-0.03
2011-08-17,0.01
2011-08-24,-0.01
2011-08-31,0.00
2011-09-07,-0.01
2011-09-14,0.01
2011-09-21,0.00
2011-09-28,-0.01
2011-10-05,-0.01
2011-10-12,0.00
2011-10-19,0.00
2011-10-26,0.00
2011-11-02,0.01
2011-11-09,0.00
2011-11-16,0.00
2011-11-23,0.00
2011-11-30,0.00
2011-12-07,0.00
2011-12-14,-0.01
2011-12-21,0.00
2011-12-28,0.01
2012-01-04,-0.03
2012-01-11,0.02
2012-01-18,0.02
2012-01-25,0.00
2012-02-01,0.00
2012-02-08,0.02
2012-02-15,0.01
2012-02-22,-0.03
