DATE,NROU_PCH
2004-07-01,-0.18672
2004-10-01,-0.18121
2005-01-01,-0.17504
2005-04-01,-0.16811
2005-07-01,-0.15928
2005-10-01,-0.13865
2006-01-01,-0.19413
2006-04-01,-0.20618
2006-07-01,-0.21547
2006-10-01,-0.22092
2007-01-01,-0.22186
2007-04-01,-0.21801
2007-07-01,-0.20967
2007-10-01,-0.19766
2008-01-01,-0.18323
2008-04-01,-0.16784
2008-07-01,-0.15298
2008-10-01,-0.14007
2009-01-01,-0.13031
2009-04-01,-0.12450
2009-07-01,-0.12294
2009-10-01,-0.12541
2010-01-01,-0.13133
2010-04-01,-0.14001
2010-07-01,-0.15082
2010-10-01,-0.16309
2011-01-01,-0.17601
2011-04-01,-0.18849
2011-07-01,-0.19929
2011-10-01,-0.20718
2012-01-01,-0.21126
2012-04-01,-0.21123
2012-07-01,-0.20742
2012-10-01,-0.20065
2013-01-01,-0.19201
2013-04-01,-0.18254
2013-07-01,-0.17308
2013-10-01,-0.16422
2014-01-01,-0.15635
2014-04-01,-0.14975
2014-07-01,-0.14459
2014-10-01,-0.14102
2015-01-01,-0.13911
2015-04-01,-0.13884
2015-07-01,-0.14012
2015-10-01,-0.14274
2016-01-01,-0.14638
2016-04-01,-0.15059
2016-07-01,-0.15485
2016-10-01,-0.15869
2017-01-01,-0.16190
2017-04-01,-0.16461
2017-07-01,-0.16740
2017-10-01,-0.17123
2018-01-01,-0.17711
2018-04-01,-0.18579
2018-07-01,-0.19749
2018-10-01,-0.21171
2019-01-01,-0.22718
2019-04-01,-0.24204
2019-07-01,-0.25404
2019-10-01,-0.26090
2020-01-01,-0.26093
2020-04-01,-0.25352
2020-07-01,-0.23941
2020-10-01,-0.22050
2021-01-01,-0.19681
2021-04-01,-0.17638
2021-07-01,-0.15614
2021-10-01,-0.13806
2022-01-01,-0.12239
2022-04-01,-0.10901
2022-07-01,-0.09761
2022-10-01,-0.08793
2023-01-01,-0.07976
2023-04-01,-0.07302
2023-07-01,-0.06804
2023-10-01,-0.06479
2024-01-01,-0.06311
2024-04-01,-0.06273
2024-07-01,-0.06289
