DATE,WCOILBRENTEU_PCH
2004-08-27,-5.22890
2004-09-03,-2.91262
2004-09-10,-0.97561
2004-09-17,2.33990
2004-09-24,9.02527
2004-10-01,3.99558
2004-10-08,2.08024
2004-10-15,5.96798
2004-10-22,-0.90267
2004-10-29,-0.69307
2004-11-05,-8.71386
2004-11-12,-6.44386
2004-11-19,-5.13659
2004-11-26,5.29166
2004-12-03,-3.43619
2004-12-10,-8.98088
2004-12-17,6.32979
2004-12-24,2.92646
2004-12-31,-3.30498
2005-01-07,5.73008
2005-01-14,5.99002
2005-01-21,1.09890
2005-01-28,1.64153
2005-02-04,-3.88477
2005-02-11,-1.70300
2005-02-18,4.45830
2005-02-25,6.65635
2005-03-04,6.42753
2005-03-11,3.42879
2005-03-18,3.31513
2005-03-25,-1.98724
2005-04-01,-2.84598
2005-04-08,2.98679
2005-04-15,-6.24651
2005-04-22,1.58636
2005-04-29,0.80031
2005-05-06,-3.07901
2005-05-13,-2.69730
2005-05-20,-3.53183
2005-05-27,3.42699
2005-06-03,3.84853
2005-06-10,2.85375
2005-06-17,4.37380
2005-06-24,5.13199
2005-07-01,-0.45654
2005-07-08,2.27553
2005-07-15,-0.94860
2005-07-22,-1.81090
2005-07-29,3.74180
2005-08-05,3.28205
2005-08-12,6.68653
2005-08-19,-0.35681
2005-08-26,2.25751
2005-09-02,0.62424
2005-09-09,-4.31230
2005-09-16,-3.19418
2005-09-23,3.93662
2005-09-30,-2.31023
2005-10-07,-5.19627
2005-10-14,-0.57696
2005-10-21,-0.75098
2005-10-28,0.60189
2005-11-04,0.41026
2005-11-11,-3.31971
2005-11-18,-5.31784
2005-11-25,-0.37195
2005-12-02,0.03733
2005-12-09,4.62773
2005-12-16,4.77974
2005-12-23,-4.06809
2005-12-30,1.80979
2006-01-06,7.56361
2006-01-13,0.74530
2006-01-20,2.18720
2006-01-27,0.36198
2006-02-03,0.36067
2006-02-10,-4.32813
2006-02-17,-5.20986
2006-02-24,2.32598
2006-03-03,2.81192
2006-03-10,-2.55486
2006-03-17,4.90756
2006-03-24,-1.29766
2006-03-31,5.11281
2006-04-07,3.35083
2006-04-14,2.95831
2006-04-21,5.26774
2006-04-28,0.41356
2006-05-05,0.10983
2006-05-12,-3.40099
2006-05-19,-3.69108
2006-05-26,0.92866
2006-06-02,0.40894
2006-06-09,-1.25091
2006-06-16,-2.53351
2006-06-23,3.26432
2006-06-30,5.10757
2006-07-07,2.26956
2006-07-14,0.73519
2006-07-21,-0.63522
2006-07-28,0.01360
2006-08-04,3.79437
2006-08-11,0.86478
2006-08-18,-6.01455
2006-08-25,-0.59433
2006-09-01,-4.96385
2006-09-08,-3.78932
2006-09-15,-6.66058
2006-09-22,-1.87357
2006-09-29,-2.44064
2006-10-06,-2.73996
2006-10-13,2.06474
2006-10-20,0.30859
2006-10-27,-1.33311
2006-11-03,-2.16525
2006-11-10,2.72663
2006-11-17,-0.29300
2006-11-24,2.33362
2006-12-01,5.72635
2006-12-08,1.66161
2006-12-15,-1.68160
2006-12-22,-0.19182
2006-12-29,-4.40423
2007-01-05,-6.80181
2007-01-12,-6.90275
2007-01-19,-0.75304
2007-01-26,6.75097
2007-02-02,1.91361
2007-02-09,3.54077
2007-02-16,-4.07599
2007-02-23,4.71732
2007-03-02,4.22971
2007-03-09,-0.44540
2007-03-16,0.86164
2007-03-23,0.36143
2007-03-30,8.20101
2007-04-06,3.70651
2007-04-13,-0.51058
2007-04-20,-2.91789
2007-04-27,1.78221
2007-05-04,-2.00326
2007-05-11,-3.22532
2007-05-18,5.69551
2007-05-25,4.58919
2007-06-01,-3.11394
2007-06-08,4.06136
2007-06-15,-1.88123
2007-06-22,2.70425
2007-06-29,-0.02786
2007-07-06,4.22241
2007-07-13,3.97112
2007-07-20,0.61728
2007-07-27,-2.01943
2007-08-03,-0.41743
2007-08-10,-7.38800
2007-08-17,-0.86280
2007-08-24,-2.35412
2007-08-31,3.08299
2007-09-07,6.39263
2007-09-14,2.43805
2007-09-21,1.66472
2007-09-28,-0.02559
2007-10-05,-0.21753
2007-10-12,1.11567
2007-10-19,6.89918
2007-10-26,-0.67624
2007-11-02,8.00287
2007-11-09,3.45056
2007-11-16,-2.99337
2007-11-23,3.60370
2007-11-30,-1.96788
2007-12-07,-3.33116
2007-12-14,1.29083
2007-12-21,0.64273
2007-12-28,3.93085
2008-01-04,2.23541
2008-01-11,-2.17617
2008-01-18,-4.62924
2008-01-25,-1.74386
2008-02-01,3.74180
2008-02-08,-2.05950
2008-02-15,5.67423
2008-02-22,2.26363
2008-02-29,2.02821
2008-03-07,2.82543
2008-03-14,5.68204
2008-03-21,-4.30866
2008-03-28,-0.97040
2008-04-04,-1.14650
2008-04-11,5.67010
2008-04-18,3.58349
2008-04-25,3.55008
2008-05-02,-2.06402
2008-05-09,7.01911
2008-05-16,2.28638
2008-05-23,3.17344
2008-05-30,1.81071
2008-06-06,-1.88723
2008-06-13,6.16639
2008-06-20,-1.52103
2008-06-27,2.61962
2008-07-04,4.07998
2008-07-11,-2.58028
2008-07-18,-1.73179
2008-07-25,-6.18290
2008-08-01,-1.79163
2008-08-08,-6.32484
2008-08-15,-5.49073
2008-08-22,1.36166
2008-08-29,0.66273
2008-09-05,-7.74911
2008-09-12,-6.18189
2008-09-19,-8.15173
2008-09-26,12.93788
2008-10-03,-8.92875
2008-10-10,-11.88248
2008-10-17,-14.44801
2008-10-24,-7.04388
2008-10-31,-5.88509
2008-11-07,-1.94687
2008-11-14,-10.36514
2008-11-21,-10.28722
2008-11-28,1.54844
2008-12-05,-9.95261
2008-12-12,-6.15561
2008-12-19,1.70690
2008-12-26,-15.17622
2009-01-02,4.69192
2009-01-09,22.16523
2009-01-16,-6.34254
2009-01-23,-1.67532
2009-01-30,6.07151
2009-02-06,-1.26697
2009-02-13,4.46838
2009-02-20,-10.26541
2009-02-27,4.32657
2009-03-06,2.76476
2009-03-13,0.27360
2009-03-20,5.57071
2009-03-27,10.83351
2009-04-03,-5.77147
2009-04-10,6.16622
2009-04-17,0.21368
2009-04-24,-5.07850
2009-05-01,1.93996
2009-05-08,9.83574
2009-05-15,2.84516
2009-05-22,2.66005
2009-05-29,7.44515
2009-06-05,7.99035
2009-06-12,4.03454
2009-06-19,-0.28620
2009-06-26,-3.01378
2009-07-03,0.66588
2009-07-10,-11.23034
2009-07-17,1.19225
2009-07-24,8.91834
2009-07-31,3.06490
2009-08-07,7.85714
2009-08-14,-1.47317
2009-08-21,-1.89300
2009-08-28,1.13255
2009-09-04,-6.53947
2009-09-11,2.32249
2009-09-18,-0.46263
2009-09-25,-2.74510
2009-10-02,-1.58303
2009-10-09,2.98938
2009-10-16,6.51245
2009-10-23,6.84742
2009-10-30,-1.51476
2009-11-06,0.69673
2009-11-13,-0.45692
2009-11-20,1.03607
