DATE,WCOILWTICO_PCH
2004-08-27,-6.21827
2004-09-03,-2.39062
2004-09-10,0.11553
2004-09-17,2.44634
2004-09-24,7.72697
2004-10-01,3.95232
2004-10-08,4.14404
2004-10-15,4.53931
2004-10-22,0.57280
2004-10-29,-1.83722
2004-11-05,-6.77522
2004-11-12,-3.63381
2004-11-19,-2.04167
2004-11-26,3.76436
2004-12-03,-5.59541
2004-12-10,-9.00999
2004-12-17,3.79384
2004-12-24,2.04598
2004-12-31,-4.21266
2005-01-07,3.64534
2005-01-14,6.17200
2005-01-21,2.26544
2005-01-28,1.48380
2005-02-04,-3.27430
2005-02-11,-1.89483
2005-02-18,3.77604
2005-02-25,8.21832
2005-03-04,1.91304
2005-03-11,2.80622
2005-03-18,3.15382
2005-03-25,-5.32809
2005-04-01,3.81492
2005-04-08,0.49118
2005-04-15,-6.87907
2005-04-22,1.84681
2005-04-29,-0.74442
2005-05-06,-2.61538
2005-05-13,-0.61216
2005-05-20,-5.08643
2005-05-27,4.98221
2005-06-03,7.19840
2005-06-10,-0.03720
2005-06-17,4.54038
2005-06-24,5.09078
2005-07-01,-1.40583
2005-07-08,3.69352
2005-07-15,-1.95494
2005-07-22,-3.17675
2005-07-29,3.64747
2005-08-05,3.78852
2005-08-12,5.20766
2005-08-19,0.10794
2005-08-26,2.18731
2005-09-02,3.21073
2005-09-09,-5.34541
2005-09-16,-1.49668
2005-09-23,4.05702
2005-09-30,-0.55698
2005-10-07,-4.54133
2005-10-14,-0.30130
2005-10-21,-0.93844
2005-10-28,-1.52537
2005-11-04,-1.61422
2005-11-11,-2.55220
2005-11-18,-3.06122
2005-11-25,1.98246
2005-12-02,-0.60210
2005-12-09,3.54794
2005-12-16,0.81899
2005-12-23,-3.89589
2005-12-30,3.19131
2006-01-06,5.96790
2006-01-13,0.55214
2006-01-20,4.78506
2006-01-27,0.04492
2006-02-03,-0.34421
2006-02-10,-5.30110
2006-02-17,-5.85157
2006-02-24,0.94324
2006-03-03,3.90456
2006-03-10,-2.21616
2006-03-17,2.87404
2006-03-24,-2.04342
2006-03-31,7.02412
2006-04-07,1.35526
2006-04-14,3.44050
2006-04-21,4.38635
2006-04-28,-2.07319
2006-05-05,2.50071
2006-05-12,-0.88716
2006-05-19,-3.39860
2006-05-26,1.85319
2006-06-02,1.67733
2006-06-09,0.01398
2006-06-16,-2.87951
2006-06-23,0.66206
2006-06-30,3.87475
2006-07-07,2.75292
2006-07-14,0.75017
2006-07-21,-1.63542
2006-07-28,-0.14869
2006-08-04,1.80046
2006-08-11,0.57181
2006-08-18,-5.07735
2006-08-25,0.45967
2006-09-01,-2.92568
2006-09-08,-3.54235
2006-09-15,-5.25692
2006-09-22,-4.03251
2006-09-29,0.87948
2006-10-06,-3.50339
2006-10-13,-1.99097
2006-10-20,-0.17071
2006-10-27,0.68399
2006-11-03,-0.56046
2006-11-10,2.40820
